380,0.01
385,0.03
390,0.14
395,0.61
400,2.62
405,8.43
410,16.51
415,17.90
420,11.26
425,5.94
430,3.31
435,2.25
440,2.07
445,2.29
450,2.68
455,3.15
460,3.64
465,4.18
470,4.83
475,5.57
480,6.40
485,7.27
490,8.08
495,8.73
500,9.21
505,9.54
510,9.75
515,9.91
520,10.06
525,10.26
530,10.51
535,10.82
540,11.17
545,11.55
550,11.92
555,12.30
560,12.68
565,13.07
570,13.52
575,14.06
580,14.70
585,15.46
590,16.38
595,17.39
600,18.50
605,19.51
610,20.52
615,21.52
620,22.38
625,23.07
630,23.51
635,23.71
640,23.67
645,23.35
650,22.81
655,22.01
660,21.03
665,19.91
670,18.69
675,17.39
680,16.05
685,14.69
690,13.36
695,12.04
700,10.80
705,9.62
710,8.54
715,7.57
720,6.68
725,5.86
730,5.12
735,4.46
740,3.88
745,3.37
750,2.94
755,2.54
760,2.21
765,1.90
770,1.65
775,1.44
780,1.22
