380,0.00
385,0.01
390,0.02
395,0.04
400,0.08
405,0.17
410,0.41
415,0.93
420,1.84
425,3.05
430,4.29
435,5.69
440,7.06
445,7.91
450,7.74
455,6.62
460,5.13
465,3.85
470,2.94
475,2.34
480,1.99
485,1.92
490,2.19
495,2.87
500,4.03
505,5.64
510,7.49
515,9.25
520,10.82
525,12.11
530,13.08
535,13.66
540,14.01
545,14.19
550,14.28
555,14.27
560,14.19
565,14.03
570,13.82
575,13.59
580,13.35
585,13.20
590,13.19
595,13.46
600,14.31
605,16.15
610,19.49
615,25.07
620,33.87
625,40.75
630,35.59
635,21.59
640,11.11
645,7.27
650,5.58
655,4.64
660,3.98
665,3.48
670,3.07
675,2.73
680,2.42
685,2.15
690,1.91
695,1.70
700,1.50
705,1.33
710,1.18
715,1.05
720,0.93
725,0.83
730,0.74
735,0.65
740,0.57
745,0.51
750,0.46
755,0.41
760,0.37
765,0.34
770,0.30
775,0.28
780,0.25
