380,0.00
385,0.00
390,0.00
395,0.01
400,0.03
405,0.08
410,0.21
415,0.54
420,1.31
425,2.75
430,5.04
435,8.31
440,13.37
445,20.61
450,25.91
455,24.12
460,17.47
465,11.90
470,8.62
475,6.34
480,4.89
485,4.25
490,4.19
495,4.70
500,5.77
505,7.27
510,8.94
515,10.60
520,12.11
525,13.36
530,14.30
535,15.02
540,15.54
545,15.90
550,16.15
555,16.33
560,16.42
565,16.44
570,16.36
575,16.20
580,15.98
585,15.70
590,15.36
595,14.93
600,14.44
605,13.86
610,13.24
615,12.57
620,11.84
625,11.12
630,10.38
635,9.65
640,8.91
645,8.19
650,7.51
655,6.86
660,6.21
665,5.60
670,5.05
675,4.54
680,4.05
685,3.62
690,3.23
695,2.87
700,2.53
705,2.24
710,1.99
715,1.76
720,1.55
725,1.37
730,1.21
735,1.07
740,0.95
745,0.85
750,0.75
755,0.67
760,0.61
765,0.55
770,0.50
775,0.45
780,0.42
