380,0.00
385,0.00
390,0.00
395,0.01
400,0.02
405,0.05
410,0.11
415,0.24
420,0.50
425,0.94
430,1.60
435,2.43
440,3.38
445,4.59
450,5.84
455,5.56
460,4.00
465,3.14
470,2.80
475,2.68
480,3.03
485,3.98
490,5.53
495,7.84
500,10.96
505,14.61
510,18.01
515,20.24
520,20.57
525,19.22
530,16.93
535,14.58
540,12.61
545,11.09
550,9.93
555,9.11
560,8.60
565,8.31
570,8.21
575,8.24
580,8.42
585,8.74
590,9.25
595,10.00
600,11.10
605,12.74
610,15.35
615,19.43
620,26.01
625,36.47
630,51.10
635,62.69
640,52.07
645,28.62
650,15.50
655,9.58
660,6.54
665,4.95
670,4.01
675,3.37
680,2.89
685,2.51
690,2.18
695,1.92
700,1.67
705,1.44
710,1.25
715,1.09
720,0.93
725,0.82
730,0.71
735,0.61
740,0.53
745,0.45
750,0.40
755,0.35
760,0.30
765,0.27
770,0.24
775,0.21
780,0.17
